KO > |Fantasy Zone (USA).zip
KO > |Fantasy Zone (Japan, Europe).zip
KO > |Fatal Fury Special (USA).zip
KO > |Fatal Fury Special (Europe).zip
KO > |FIFA International Soccer (Japan).zip
OK  > |FIFA International Soccer (USA, Europe).zip
OK  > |FIFA Soccer 96 (USA, Europe) (En,Fr,De,Es).zip
OK  > |Foreman for Real (World).zip
OK  > |Frank Thomas Big Hurt Baseball (USA).zip
KO > |Fray - Shugyou Hen (Japan).zip
KO > |Fred Couples' Golf (Japan).zip
OK  > |Fred Couples' Golf (USA).zip
KO > |Frogger (USA) (Proto).zip
KO > |From TV Animation - Slam Dunk - Shouri e no Starting 5 (Japan).zip
OK  > |Galaga 2 (Europe).zip
KO > |Galaga '91 (Japan).zip
KO > |Gamble Panic (Japan).zip
KO > |Gambler Jiko Chuushinha (Japan).zip
KO > |Ganbare Gorby! (Japan).zip
OK  > |Garfield - Caught in the Act (USA, Europe).zip
KO > |Garou Densetsu Special (Japan).zip
KO > |Gear Stadium Heiseiban (Japan).zip
KO > |Gear Stadium (Japan).zip
OK  > |Gear Works (USA).zip
OK  > |George Foreman's KO Boxing (USA, Europe).zip
OK  > |GG Aleste II ~ Power Strike II (Japan, Europe).zip
KO > |GG Aleste (Japan).zip
KO > |GG Doraemon - Noranosuke no Yabou (Japan).zip
KO > |GG Portrait - Pai Chen (Japan).zip
KO > |GG Portrait - Yuuki Akira (Japan).zip
KO > |GG Shinobi, The (Japan).zip
KO > |G-LOC - Air Battle (Japan).zip
KO > |G-LOC - Air Battle (Japan) (Rev 1).zip
OK  > |G-LOC - Air Battle (USA, Europe).zip
KO > |Gojira - Kaijuu Daishingeki (Japan).zip
KO > |GP Rider (Japan).zip
OK  > |GP Rider (USA, Europe).zip
OK  > |Greendog - The Beached Surfer Dude! (USA, Europe).zip
KO > |Griffin (Japan).zip
KO > |Gunstar Heroes (Japan).zip
KO > |Halley Wars (Japan).zip
OK  > |Halley Wars (USA, Europe).zip
KO > |Head Buster (Japan).zip
KO > |Heavy Weight Champ (Japan).zip
OK  > |Home Alone (USA, Europe).zip
KO > |Honoo no Toukyuuji - Dodge Danpei (Japan).zip
KO > |Hook (USA).zip
KO > |Hook (Europe).zip
OK  > |Hurricanes (Europe).zip
KO > |Hyokkori Hyoutan-jima - Hyoutan-jima no Daikoukai (Japan).zip
KO > |Hyper Pro Yakyuu '92 (Japan).zip
KO > |Ichidant~R GG (Japan).zip
KO > |In the Wake of Vampire (Japan).zip
OK  > |Incredible Crash Dummies, The (World).zip
OK  > |Incredible Hulk, The (USA, Europe).zip
OK  > |Indiana Jones and the Last Crusade (USA, Europe).zip
OK  > |Iron Man X-O Manowar in Heavy Metal (USA, Europe).zip
OK  > |Itchy & Scratchy Game, The (USA, Europe).zip
KO > |J.League GG Pro Striker '94 (Japan).zip
KO > |J.League Soccer - Dream Eleven (Japan).zip
OK  > |James Bond 007 - The Duel (Europe).zip
OK  > |James Pond 3 - Operation Starfi5h (Europe).zip
KO > |James Pond II - Codename RoboCod (USA).zip
KO > |James Pond II - Codename RoboCod (Europe).zip
KO > |Jang Pung II (Korea) (Unl).zip
OK  > |Jeopardy! - Sports Edition (USA, Europe).zip
OK  > |Jeopardy! (USA).zip
KO > |Joe Montana Football (Japan).zip
OK  > |Joe Montana Football (USA, Europe).zip
OK  > |Journey from Darkness - Strider Returns (USA, Europe).zip
OK  > |Judge Dredd (USA, Europe).zip
OK  > |Junction (USA).zip
KO > |Junction (Japan) (En).zip
KO > |Jungle Book, The (USA).zip
KO > |Jungle Book, The (Europe).zip
OK  > |Jungle Strike (USA).zip
KO > |Jurassic Park (Japan).zip
OK  > |Jurassic Park (USA, Europe).zip
KO > |Kaitou Saint Tail (Japan).zip
OK  > |Kawasaki Superbike Challenge (USA, Europe).zip
KO > |Kenyuu Densetsu Yaiba (Japan).zip
KO > |Kick & Rush (Japan).zip
KO > |Kinetic Connection (Japan).zip
KO > |Kishin Douji Zenki (Japan).zip
OK  > |Klax (USA, Europe).zip
OK  > |Krusty's Fun House (USA, Europe).zip
KO > |Kuni-chan no Game Tengoku Part 2 (Japan).zip
KO > |Kuni-chan no Game Tengoku (Japan).zip
OK  > |Land of Illusion Starring Mickey Mouse (USA, Europe).zip
OK  > |Last Action Hero (USA).zip
OK  > |Legend of Illusion Starring Mickey Mouse (USA, Europe).zip
KO > |Lemmings 2 - The Tribes (Unknown) (Proto).zip
OK  > |Lemmings (World).zip
